 frequency       frequency       NF_dB           inoise_spectrum onoise_spectrum
 9.77237221e+08  9.77237221e+08  1.75986395e+00  1.11485660e-09  2.46331250e-10
 9.88553095e+08  9.88553095e+08  1.74217175e+00  1.11258807e-09  2.50870519e-10
 1.00000000e+09  1.00000000e+09  1.72451784e+00  1.11032906e-09  2.55498073e-10
 1.01157945e+09  1.01157945e+09  1.70690084e+00  1.10807933e-09  2.60216244e-10
 1.02329299e+09  1.02329299e+09  1.68931959e+00  1.10583872e-09  2.65027474e-10
 1.03514217e+09  1.03514217e+09  1.67177324e+00  1.10360707e-09  2.69934322e-10
 1.04712855e+09  1.04712855e+09  1.65426118e+00  1.10138428e-09  2.74939476e-10
 1.05925373e+09  1.05925373e+09  1.63678309e+00  1.09917026e-09  2.80045756e-10
 1.07151931e+09  1.07151931e+09  1.61933895e+00  1.09696497e-09  2.85256127e-10
 1.08392691e+09  1.08392691e+09  1.60192905e+00  1.09476843e-09  2.90573708e-10
 1.09647820e+09  1.09647820e+09  1.58455399e+00  1.09258067e-09  2.96001784e-10
 1.10917482e+09  1.10917482e+09  1.56721466e+00  1.09040177e-09  3.01543818e-10
 1.12201845e+09  1.12201845e+09  1.54991232e+00  1.08823184e-09  3.07203462e-10
 1.13501082e+09  1.13501082e+09  1.53264854e+00  1.08607106e-09  3.12984575e-10
 1.14815362e+09  1.14815362e+09  1.51542525e+00  1.08391961e-09  3.18891238e-10
 1.16144861e+09  1.16144861e+09  1.49824473e+00  1.08177776e-09  3.24927767e-10
 1.17489755e+09  1.17489755e+09  1.48110961e+00  1.07964578e-09  3.31098737e-10
 1.18850223e+09  1.18850223e+09  1.46402291e+00  1.07752402e-09  3.37409003e-10
 1.20226443e+09  1.20226443e+09  1.44698801e+00  1.07541283e-09  3.43863719e-10
 1.21618600e+09  1.21618600e+09  1.43000869e+00  1.07331265e-09  3.50468365e-10
 1.23026877e+09  1.23026877e+09  1.41308909e+00  1.07122393e-09  3.57228777e-10
 1.24451461e+09  1.24451461e+09  1.39623376e+00  1.06914720e-09  3.64151176e-10
 1.25892541e+09  1.25892541e+09  1.37944766e+00  1.06708299e-09  3.71242202e-10
 1.27350308e+09  1.27350308e+09  1.36273612e+00  1.06503191e-09  3.78508953e-10
 1.28824955e+09  1.28824955e+09  1.34610491e+00  1.06299460e-09  3.85959027e-10
 1.30316678e+09  1.30316678e+09  1.32956017e+00  1.06097175e-09  3.93600568e-10
 1.31825674e+09  1.31825674e+09  1.31310847e+00  1.05896410e-09  4.01442322e-10
 1.33352143e+09  1.33352143e+09  1.29675678e+00  1.05697241e-09  4.09493691e-10
 1.34896288e+09  1.34896288e+09  1.28051246e+00  1.05499751e-09  4.17764800e-10
 1.36458314e+09  1.36458314e+09  1.26438327e+00  1.05304026e-09  4.26266574e-10
 1.38038426e+09  1.38038426e+09  1.24837738e+00  1.05110156e-09  4.35010818e-10
 1.39636836e+09  1.39636836e+09  1.23250333e+00  1.04918236e-09  4.44010307e-10
 1.41253754e+09  1.41253754e+09  1.21677003e+00  1.04728363e-09  4.53278897e-10
 1.42889396e+09  1.42889396e+09  1.20118677e+00  1.04540639e-09  4.62831641e-10
 1.44543977e+09  1.44543977e+09  1.18576317e+00  1.04355170e-09  4.72684921e-10
 1.46217717e+09  1.46217717e+09  1.17050922e+00  1.04172065e-09  4.82856604e-10
 1.47910839e+09  1.47910839e+09  1.15543520e+00  1.03991435e-09  4.93366211e-10
 1.49623566e+09  1.49623566e+09  1.14055170e+00  1.03813396e-09  5.04235119e-10
 1.51356125e+09  1.51356125e+09  1.12586958e+00  1.03638064e-09  5.15486782e-10
 1.53108746e+09  1.53108746e+09  1.11139995e+00  1.03465560e-09  5.27146993e-10
 1.54881662e+09  1.54881662e+09  1.09715417e+00  1.03296004e-09  5.39244174e-10
 1.56675107e+09  1.56675107e+09  1.08314377e+00  1.03129521e-09  5.51809725e-10
 1.58489319e+09  1.58489319e+09  1.06938045e+00  1.02966236e-09  5.64878412e-10
 1.60324539e+09  1.60324539e+09  1.05587605e+00  1.02806273e-09  5.78488824e-10
 1.62181010e+09  1.62181010e+09  1.04264249e+00  1.02649760e-09  5.92683906e-10
 1.64058977e+09  1.64058977e+09  1.02969177e+00  1.02496822e-09  6.07511573e-10
 1.65958691e+09  1.65958691e+09  1.01703588e+00  1.02347587e-09  6.23025438e-10
 1.67880402e+09  1.67880402e+09  1.00468680e+00  1.02202178e-09  6.39285657e-10
 1.69824365e+09  1.69824365e+09  9.92656460e-01  1.02060722e-09  6.56359937e-10
 1.71790839e+09  1.71790839e+09  9.80956663e-01  1.01923340e-09  6.74324723e-10
 1.73780083e+09  1.73780083e+09  9.69599071e-01  1.01790153e-09  6.93266611e-10
 1.75792361e+09  1.75792361e+09  9.58595156e-01  1.01661279e-09  7.13284046e-10
